2016-10-27T11:37:15.592Z,"Correct NDS Login",47.077
2016-10-27T11:37:20.090Z,"Valid User Info entered",4.498
2016-10-27T11:37:21.339Z,"Normal disturbance estimated",1.249
2016-10-27T11:37:21.643Z,"Building chosen",0.304
2016-10-27T11:37:21.672Z,"Floor chosen",0.029
2016-10-27T11:37:21.699Z,"Room chosen",0.027
2016-10-27T11:37:25.514Z,"Specialist group chosen",3.815
2016-10-27T11:37:26.857Z,"Disturbance reported",1.343
