Altes Finanzamt, ALFI*Altes Finanzamt, ALFI*_0  EG*098 Aufzug*BY.R.L.2700.2700.0.98*0000000000004NYZ,,,
Altes Finanzamt, ALFI*Altes Finanzamt, ALFI*_0  EG*VR01 Flur*BY.R.L.2700.2700.0.VR01*0000000000004O0J,,,
Altes Finanzamt, ALFI*Altes Finanzamt, ALFI*_0  EG*VR02 Bibl. u. Büroraum*BY.R.L.2700.2700.0.VR02*0000000000004NZA,,,
Altes Finanzamt, ALFI*Altes Finanzamt, ALFI*_0  EG*VR03 Sozialraum*BY.R.L.2700.2700.0.VR03*0000000000004O05,,,
Altes Finanzamt, ALFI*Altes Finanzamt, ALFI*_0  EG*VR04 Putzraum*BY.R.L.2700.2700.0.VR04*0000000000004O0U,,,
Altes Finanzamt, ALFI*Altes Finanzamt, ALFI*_0  EG*VR05 WC*BY.R.L.2700.2700.0.VR05*000000000000AM4K,,,
Altes Finanzamt, ALFI*Altes Finanzamt, ALFI*_0  EG*VR06 Bibl. u. Büroraum*BY.R.L.2700.2700.0.VR06*000000000000AM4L,,,
Altes Finanzamt, ALFI*Altes Finanzamt, ALFI*_0  EG*VR07 Bibl. u. Büroraum*BY.R.L.2700.2700.0.VR07*000000000000AM4M,,,
Altes Finanzamt, ALFI*Altes Finanzamt, ALFI*_0  EG*VR08 Bibl. u. Büroraum*BY.R.L.2700.2700.0.VR08*000000000000AM4N,,,
Altes Finanzamt, ALFI*Altes Finanzamt, ALFI*_0  EG*VR09 Flur*BY.R.L.2700.2700.0.VR09*000000000000AM4O,,,
Altes Finanzamt, ALFI*Altes Finanzamt, ALFI*_1  OG1*101 W.A.*BY.R.L.2700.2700.1.01*0000000000004OA6,,,
Altes Finanzamt, ALFI*Altes Finanzamt, ALFI*_1  OG1*102 .Prof.*BY.R.L.2700.2700.1.02*0000000000004O7S,,,
Altes Finanzamt, ALFI*Altes Finanzamt, ALFI*_1  OG1*103  W.A.*BY.R.L.2700.2700.1.03*0000000000004O8N,,,
Altes Finanzamt, ALFI*Altes Finanzamt, ALFI*_1  OG1*103A W.A.*BY.R.L.2700.2700.1.03A*0000000000004O9Q,,,
Altes Finanzamt, ALFI*Altes Finanzamt, ALFI*_1  OG1*104 W.A.*BY.R.L.2700.2700.1.04*0000000000004O7I,,,
Altes Finanzamt, ALFI*Altes Finanzamt, ALFI*_1  OG1*104A WC D*BY.R.L.2700.2700.1.04A*0000000000004O82,,,
Altes Finanzamt, ALFI*Altes Finanzamt, ALFI*_1  OG1*104B Dusche*BY.R.L.2700.2700.1.04B*0000000000004O95,,,
Altes Finanzamt, ALFI*Altes Finanzamt, ALFI*_1  OG1*104C WC H*BY.R.L.2700.2700.1.04C*0000000000004OA2,,,
Altes Finanzamt, ALFI*Altes Finanzamt, ALFI*_1  OG1*105 W.A.*BY.R.L.2700.2700.1.05*0000000000004O7P,,,
